index,reason,prediction,label
51,"The text discusses women protesting for their right to work and study, which primarily relates to **I12 (Personal Right)** as they emphasize individual rights (Right/Individual Right). It also touches on **I7 (Cultural Value)** by advocating for individual freedoms against collective restrictions (Right/Individualism). Additionally, the demand for freedom aligns with **I5 (Ethical Pursuit)** opposing conservative moral restrictions (Left/Ethical Liberalism). The mention of 'right to work' indirectly relates to **I4 (Economic Equality)** as they seek equal access to opportunities (Right/Opportunity Equality). Other dimensions (e.g., Political Regime, Military Force) are unrelated.","[0, 0, 0, 3, 1, 0, 3, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3]"
52,The text criticizes the perceived double standard in societal attitudes towards parental responsibility and abortion. It relates to I5 (Ethical Pursuit) by opposing ethical liberalism (pro-choice stance) and advocating ethical conservatism. It also touches on I12 (Personal Right) by emphasizing social responsibility over individual rights in the context of parental duties. Other dimensions are unrelated as the focus is on ethical and personal responsibility issues.,"[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1]"
53,"The text criticizes 'librandus' (a term often used pejoratively for liberals) for allegedly being hypocritical in condemning the Capitol Hill violence under Trump but not the Delhi violence. This relates to **I12 (Personal Right)** as it emphasizes social responsibility ('WE CONDEMN DELHI VIOLENCE') over individual rights, implying a left-leaning stance on prioritizing collective responsibility. Other dimensions (e.g., political regime, economic orientation) are unrelated as the text focuses on accountability and moral condemnation rather than systemic ideologies.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
54,"The text emphasizes protecting the democratic system of elections and resisting attempts to undermine it. This relates to I11 (Justice Orientation) as it stresses procedural justice by opposing actions that damage the democratic process. It also touches on I12 (Personal Right) by prioritizing social responsibility to safeguard democratic institutions over individual rights of those seeking to harm the system. Other dimensions (I1-I10) are unrelated as the text does not discuss economic systems, state structure, cultural values, or other listed aspects.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
55,"The text discusses the termination of an individual for refusing the COVID vaccine, highlighting a conflict between personal choice and institutional mandates. This relates to I7 (Cultural Value) as it emphasizes individualism over collective mandates, and I12 (Personal Right) by prioritizing individual rights over social responsibility. Other dimensions like Political Regime (I1) or Economic Orientation (I3) are unrelated as the focus is on personal autonomy rather than economic systems or state structure.","[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
56,"The text discusses issues related to women's rights, abortion, and contraception, which primarily relate to Ethical Pursuit (I5) and Personal Right (I12). The author criticizes policies restricting abortion and contraception, advocating for ethical liberalism (supporting abortion rights) and emphasizing individual rights over social responsibility. The mention of 'pro-patriarchy' and power dynamics touches on Cultural Value (I7), favoring individualism by opposing collective control over women's choices. The critique of the #RoeVWade ruling as taking power from women aligns with Justice Orientation (I11), focusing on result justice (fair distribution of power). Other dimensions (I1, I2, I3, I6, I8, I9, I10) are unrelated as the text does not address political regimes, economic systems, church-state relations, diplomacy, military, or social development strategies.","[0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 1, 3]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]"
57,"The text is a promotional advertisement for a security company offering a discount to new customers. It focuses on marketing services (security, dog units, event security) and customer incentives (10% off). There is no explicit or implicit discussion of political, economic, ethical, cultural, diplomatic, military, or social ideology. All dimensions (I1-I12) are unrelated as the content does not address any ideological stances.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,"The text emphasizes protecting individual rights (voting rights, women's rights) and criticizes political figures for undermining democracy, which relates to Ethical Pursuit (I5: Left, supporting women's rights to choose), Cultural Value (I7: Right, emphasizing individualism in rights), and Personal Right (I12: Right, prioritizing individual rights). The call to vote out enablers aligns with Reformism (I10: Right, advocating gradual change through elections). The mention of 'stealing freedom' and rights relates to Result Justice (I11: Left, focusing on fair outcomes). Other dimensions (I1, I2, I3, I4, I6, I8, I9) are unrelated as the text does not address economic systems, state structure, religion, military, or diplomacy.","[0, 0, 0, 0, 1, 0, 3, 0, 0, 3, 1, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3]"
59,"The text discusses gender and women's rights, intersectionality, and domestic workers in the Gulf. This primarily relates to Ethical Pursuit (I5) as it supports progressive values like women's rights (Left: Ethical Liberalism). Cultural Value (I7) is also relevant because intersectionality addresses systemic group-based issues, aligning with Collectivism (Left). Personal Right (I12) is related as the text emphasizes protecting individual rights (Right: Individual Right). Other dimensions (I1-I4, I6, I8-I11) are unrelated as the text does not address political regimes, economic policies, church-state relations, diplomacy, military, social development strategies, or justice frameworks.","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3]"
60,"The text primarily relates to Ethical Pursuit (I5) as the user supports pro-choice' and LGBTQ+ rights, aligning with Ethical Liberalism (Left). Cultural Value (I7) is related through the emphasis on individual rights and existence without oppression, leaning towards Individualism (Right). Personal Right (I12) is also relevant as the focus is on protecting individual rights over social responsibility (Right). Other dimensions like Political Regime, State Structure, etc., are unrelated as they are not addressed in the text.","[0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]"
61,"The text discusses political libertarians inserting 'destructive anti-social code' promoting individual freedoms opposed to democracy. This relates to I7 (Cultural Value) as it emphasizes individualism over collectivism (label 3). The mention of 'destructive' action aligns with I10 (Social Development), suggesting revolutionism (label 1). The focus on individual freedoms conflicting with democratic structures also touches I12 (Personal Right), prioritizing individual rights over social responsibility (label 3). Other dimensions (I1-I6, I8-I9, I11) are unrelated as the text does not address economic systems, state structure, ethics, religion, diplomacy, military, or justice types.","[0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 3]","[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
62,"The text describes a crime fiction scenario involving a sheriff dealing with multiple bodies, focusing on mystery and family drama. It does not explicitly address any of the ideological dimensions related to political regime, state structure, economic policies, ethical pursuits, church-state relations, cultural values, diplomatic strategies, military force, social development, justice orientation, or personal rights. All dimensions are unrelated as the content is centered around crime-solving and narrative elements without ideological stance.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
63,"The text criticizes the federal government (Biden) for downplaying the border situation as a 'challenge' rather than a crisis, praises Arizona law enforcement, and accuses the administration of encouraging illegal crossings. This relates to:
- **I2 (State Structure)**: Emphasis on state-level enforcement (Arizona) over federal inaction, aligning with **Federalism (Right, 3)**.
- **I8 (Diplomatic Strategy)**: Implicit support for stricter border control and reduced international entanglements, aligning with **Isolationism (Right, 3)**.
- **I12 (Personal Right)**: Prioritizes social responsibility (enforcing immigration laws) over individual rights of migrants, aligning with **Social Responsibility (Left, 1)**.
Other dimensions (e.g., economic systems, cultural values) are unrelated.","[0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
64,"The text discusses military actions (China invading Taiwan) and attributes blame to the U.S. and Biden for geopolitical conflicts, which relates to **I9 (Military Force)**. The mention of China potentially using military force to achieve political goals aligns with *Militarism* (Right). Other dimensions (e.g., Political Regime, Economic Orientation, Cultural Value) are unrelated to the text's focus on military aggression and geopolitical blame.","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
65,"The text criticizes societal neglect of children's welfare post-birth, highlighting issues like homelessness and hunger. This relates to:
- **I4 (Economic Equality)**: Emphasis on outcome equality (Left) as it points to the lack of equitable distribution of resources for disadvantaged children.
- **I5 (Ethical Pursuit)**: Implicitly supports ethical liberalism (Left) by opposing forced childbirth without societal support, aligning with reproductive rights.
- **I7 (Cultural Value)**: Reflects collectivism (Left) by stressing societal responsibility over individual autonomy in addressing child welfare.
- **I11 (Justice Orientation)**: Focuses on result justice (Left) by criticizing unfair treatment and resource distribution for vulnerable children.
- **I12 (Personal Right)**: Prioritizes social responsibility (Left) over individual rights in ensuring child welfare.
Other dimensions (I1, I2, I3, I6, I8, I9, I10) are unrelated to the text's focus.","[0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
66,"The text discusses state control over women's bodies in the context of pregnancy, which relates to Ethical Pursuit (I5) as it opposes restrictions on abortion, aligning with Ethical Liberalism (Left). It also touches on Personal Right (I12) by emphasizing individual rights over state-imposed responsibilities, supporting Individual Right (Right). Additionally, the focus on individual autonomy over collective or state control connects to Cultural Value (I7), favoring Individualism (Right). Other dimensions (I1, I2, I3, I4, I6, I8, I9, I10, I11) are unrelated as the text does not address economic systems, state structure, equality types, religion, diplomacy, military, social change methods, or justice types.","[0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]"
67,"The text discusses a confrontation related to the #BlackLivesMatter movement, which advocates for racial justice and systemic change. This relates to:
- **I4 (Economic Equality)**: The movement emphasizes outcome equality, seeking fair treatment for marginalized groups (Left).
- **I7 (Cultural Value)**: The collective action against systemic racism aligns with collectivism (Left).
- **I10 (Social Development)**: Direct actions like protests reflect a revolutionary approach to social change (Left).
- **I11 (Justice Orientation)**: Focus on result justice for George Floyd and others (Left).
- **I12 (Personal Right)**: The confrontation highlights social responsibility to hold authorities accountable (Left).
Other dimensions (I1, I2, I3, I5, I6, I8, I9) are unrelated as the text does not address political regimes, economic systems, ethical issues, church-state relations, diplomacy, or military strategies.","[0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
68,"The text discusses anti-abortion protesters harassing patients and weak laws leading to clinic volunteers fending for themselves. This relates to:
- **I5 (Ethical Pursuit)**: The opposition to abortion aligns with *Ethical Conservatism* (Right).
- **I11 (Justice Orientation)**: The failure of authorities to ensure fair protection for patients and volunteers points to a lack of *Procedural Justice* (Right).
- **I12 (Personal Right)**: The focus on protecting patients' rights to access clinics without harassment emphasizes *Individual Right* (Right).
Other dimensions (I1-I4, I6-I10) are unrelated as the text does not address political regimes, economic systems, cultural collectivism, etc.","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 3]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0]"
69,"The text criticizes the left for fact-checking Trump and accuses them of spreading propaganda, which relates to Cultural Value (I7) by emphasizing individualism over collective actions. The support for Trump and the hashtags suggest a focus on individual rights, aligning with Individualism (I7:3) and Personal Right (I12:3). Other dimensions like Political Regime, State Structure, etc., are unrelated as the text does not discuss economic systems, state power distribution, or other specific policies.","[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,"The text mentions 'owned & operated by Trump', which relates to Capitalism (I1-Right). The mention of 'Capitol Hill has White Supremacist in the halls' highlights a lack of Result Justice (I11-Left) by pointing out systemic unfairness. Other dimensions are unrelated as the text does not address state structure, economic systems, ethical issues, church-state relations, cultural values, diplomacy, military, social development, or personal rights directly.","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
71,"The text expresses support for the #BlackLivesMatter movement, which relates to cultural values (I7) emphasizing collective action against systemic racism (Collectivism, Left). The phrase 'fight this fight' suggests a direct approach to social change (Revolutionism, I10-Left). Advocacy for racial justice aligns with Result Justice (I11-Left) as it seeks equitable outcomes. The focus on societal responsibility over individual rights (I12-Left) is implied. Other dimensions (I1, I2, I3, I4, I5, I6, I8, I9) are unrelated as the text does not address economic systems, state structure, ethical liberalism/conservatism, religion, diplomacy, or pacifism/militarism.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 3]"
72,"The text discusses women's legal rights to a safe workplace and addresses sexual harassment as a violation of equality and dignity. This relates to I5 (Ethical Liberalism) as it supports individual rights against harassment. It also touches on I7 (Individualism) by emphasizing individual rights over collective norms. The focus on legal enforcement of equality and dignity aligns with I11 (Result Justice), ensuring fair treatment. Additionally, the emphasis on protecting individual rights rather than social responsibilities relates to I12 (Individual Right). Other aspects like political regime, state structure, or economic policies are unrelated.","[0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 1, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3]"
73,"The text discusses corporate tax rates and their impact on provincial debt, relating to economic policy. For I3 (Economic Orientation), advocating for higher corporate taxes suggests a preference for government intervention in economic decisions (Left). For I10 (Social Development), proposing a tax rate adjustment aligns with gradual reform (Right). For I12 (Personal Right), emphasizing corporate tax responsibility reflects a focus on social responsibility over individual rights (Left). Other dimensions (I1, I2, I4-I9, I11) are unrelated as the text does not address political regime, state structure, equality, ethics, religion, culture, diplomacy, military, or justice beyond economic policy.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 1]","[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
74,"The text criticizes Biden's immigration policies, advocating for stricter border control and enforcement of laws, which relates to several dimensions. I2 (State Structure) is related as the text supports strong central authority in border policies (Centralism - Left). I7 (Cultural Value) is linked through emphasis on protecting American workers and rule of law, aligning with Individualism (Right). I8 (Diplomatic Strategy) reflects opposition to open borders, favoring isolationist tendencies (Right). I11 (Justice Orientation) emphasizes procedural justice by stressing law enforcement (Right). I12 (Personal Right) prioritizes individual rights of citizens over social responsibility (Right). Other dimensions (I1, I3-I6, I9-I10) are unrelated as the text does not address economic systems, ethics, religion, military, or social development methods.","[0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0]"
75,"The text criticizes left-wing media for allegedly misleading the public about the border crisis, framing it as a politically motivated distraction by the GOP. This relates to **I5 (Ethical Pursuit)** as it implies opposition to the left's emphasis on racial justice (accusing the media of a 'racist play'), aligning with *ethical conservatism* (Right). **I7 (Cultural Value)** is relevant because the dismissal of the BLM riots suggests a rejection of collectivist narratives, favoring *individualism* (Right). **I11 (Justice Orientation)** is involved through the critique of media bias, implying a focus on *procedural justice* (Right) over perceived biased outcomes. Other dimensions (I1, I2, I3, I4, I6, I8, I9, I10, I12) are unrelated references.","[0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 3, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
76,"The text criticizes Amber Heard for undermining the MeToo movement through alleged lies, emphasizing that feminism should promote equality for all. This relates to **I5 (Ethical Pursuit)** as it supports feminist principles (left-aligned Ethical Liberalism). It also touches on **I12 (Personal Right)** by stressing social responsibility over individual actions that harm collective movements (left-aligned Social Responsibility). Other dimensions (e.g., political regime, economy) are unrelated.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0]"
77,"The text discusses the importance of women's right to choose regarding their health, which relates to Ethical Pursuit (I5) by supporting ethical liberalism (pro-choice). It also touches on Personal Right (I12) by emphasizing individual rights over social responsibility. Other dimensions are unrelated as the focus is on ethical and personal rights issues.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
78,"The text criticizes the Republican Party's positions on several issues. Key dimensions include: I5 (Ethical Conservatism, Right) due to opposition to abortion; I3 (Market Economy, Right) for opposing government mandates; I7 (Individualism, Right) through support for open carry; I11 (Procedural Justice, Right) by opposing expanded voting rights; and I12 (Individual Rights, Right) emphasizing gun rights over social responsibility. Other dimensions (I1, I2, I4, I6, I8, I9, I10) are unrelated.","[0, 0, 3, 0, 3, 0, 3, 0, 0, 0, 3, 3]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0]"
79,"The text discusses the importance of having the 'right woman' for personal peace, implying traditional gender roles and moral norms in relationships. This relates to **I5 (Ethical Pursuit)**, where the emphasis on the 'right woman' aligns with ethical conservatism (Right stance). Other dimensions (I1-I4, I6-I12) are unrelated as the text does not address political regimes, economic systems, cultural collectivism/individualism, or other listed topics.","[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,"The text discusses the dependence of African countries on wheat imports from Russia and Ukraine, highlighting global economic interdependencies and risks related to food security. This relates to I8 (Diplomatic Strategy) as it underscores the importance of international trade and economic entanglements, aligning with a Globalism perspective. Other dimensions such as Political Regime, State Structure, Economic Orientation, etc., are unrelated as the text does not address issues of public vs. private ownership, power distribution, economic decision-making, equality, ethics, religion, cultural values, military action, social change methods, justice, or individual rights.","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
81,"The text criticizes immigration expansionists and corporate media for portraying population growth as a crisis while supporting a border crisis, indicating a stance against globalist immigration policies. This relates to I8 (Diplomatic Strategy) as it opposes international entanglements (Isolationism/Right). Other dimensions (I1-I7, I9-I12) are unrelated as the text focuses on immigration and national sovereignty without addressing economic systems, cultural values, or other ideological aspects.","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
82,"The text discusses the struggle against the religious right wing's influence over democratic institutions, highlighting the endangerment of marginalized communities. This relates to I6 (Church-State Relations) as it opposes the unification of religious and state power, supporting Secularism (Left). The emphasis on marginalized groups also touches on I7 (Cultural Value) by prioritizing collective welfare over individualism (Collectivism, Left). Other dimensions like I1, I2, I3, I4, I5, I8-I12 are unrelated as the text does not address economic systems, ethical issues, diplomacy, military, or justice directly.","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3]"
83,"The text discusses the Inflation Reduction Act of 2022, which includes government-led initiatives to address climate change, regulate drug prices, and increase corporate taxes. This aligns with **I3 (Economic Orientation - Left)** as it reflects government intervention in economic decisions. The focus on lowering drug prices and redistributing tax burdens relates to **I4 (Economic Equality - Left)**, emphasizing outcome equality. Raising corporate taxes to fund public initiatives also touches on **I11 (Justice Orientation - Left)**, aiming for fair distribution. Other dimensions (e.g., I1, I2, I5-I10, I12) are unrelated as the text does not address political regime structure, cultural values, military strategy, or personal rights directly.","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
84,The text criticizes a political figure for focusing on restricting women's reproductive rights (I5: Ethical Liberalism/Left) and immigration issues (I8: Globalism/Left) instead of addressing infrastructure and public health. It supports individual rights (I12: Individual Right/Right) by advocating for women's autonomy. The mention of voting aligns with democratic processes but doesn't explicitly address revolution or reform (I10: Unrelated). Other dimensions lack direct references.,"[0, 0, 0, 0, 1, 0, 3, 1, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
85,"The text discusses Newfoundland's offshore industry as an alternative to Russian fossil fuels to support NATO partners, which relates to **I8 (Diplomatic Strategy)**. By emphasizing international cooperation (providing energy resources to allies), it aligns with *Globalism* (Left/1). The focus on collective benefit for NATO partners also touches **I7 (Cultural Value)**, leaning toward *Collectivism* (Left/1). Other dimensions (e.g., economic equality, military force) are unrelated as the text does not address them directly.","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0]"
86,"The text discusses Florence Canning's role as a suffragette campaigning for women's right to vote, including imprisonment. This relates to I4 (Economic Equality) as advocating for equal access to voting rights (opportunity equality, Right). I5 (Ethical Pursuit) is linked to support for progressive social change (Ethical Liberalism, Left). I7 (Cultural Value) reflects individualism by emphasizing women's individual rights (Right). I10 (Social Development) is connected to direct action (Revolutionism, Left). I12 (Personal Right) highlights the emphasis on individual rights over responsibilities (Right). Other dimensions are unrelated as the text does not address political regimes, state structures, economics beyond equality, church-state relations, diplomacy, military, or justice procedures.","[0, 0, 0, 3, 1, 0, 3, 0, 0, 1, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
87,"The text reports on the bombing of the Mariupol theater with evidence showing 'children' marked on the building, highlighting the attack on civilians and the use of military force. This primarily relates to **I9 (Military Force)** as it implicitly criticizes the use of militarism (strong armed forces causing civilian harm). Other dimensions (e.g., political regime, economic orientation, cultural values) are unrelated, as the text does not address ideological stances on governance, economics, ethics, or societal structures. The focus is on documenting the event and its humanitarian implications rather than advocating for specific policies or ideologies.","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
88,"The text discusses a judge blocking an abortion ban on privacy grounds, directly related to **I5 (Ethical Pursuit)**. This stance supports sexual/reproductive rights (Ethical Liberalism, Left). Other dimensions (e.g., I1, I3, I9) are unrelated to the content, which focuses on legal and social issues rather than economic systems, military strategies, or state structures.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
89,"The text discusses protesters being arrested and advocates for their release and the use of a mansion for Ukrainian refugees. This relates to I12 (Personal Right) as it emphasizes protecting individual rights (Right stance). The demand to repurpose private property (mansion) for refugees hints at public ownership ideals, aligning with I1 (Political Regime: Socialism, Left). The call to action (#SquatTheLot) and urgency for social change through direct action (#liberated) connect to I10 (Social Development: Revolutionism, Left). Other dimensions (e.g., I3, I5, I6, I7, I8, I9, I11) are unrelated or insufficiently addressed.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0]"
90,"The text sarcastically criticizes Gym Jordan's stance on freedom, implying that true freedom should include a woman's right to choose (abortion rights) and children's safety from gun violence. This relates to:
- **I5 (Ethical Pursuit)**: Supports ethical liberalism (left) by advocating for reproductive rights.
- **I12 (Personal Right)**: Emphasizes protecting individual rights (safety and bodily autonomy), aligning with the right (individual rights).
Other dimensions (I1-I4, I6-I11) are unrelated as the text focuses on social issues, not economic systems, state structure, etc.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 3]"
91,"The text discusses government-led economic initiatives (Inflation Reduction Act) to address climate change and inflation, indicating a command economy approach (I3-Left). It emphasizes collective societal benefits through public infrastructure investment, aligning with collectivism (I7-Left). The use of legislative action for gradual social changes points to reformism (I10-Right). The focus on government responsibility to tackle broad issues relates to social responsibility (I12-Left). Other dimensions (I1, I2, I4-I6, I8-I9, I11) are unrelated as the text does not address ownership models, state structure, equality types, ethical issues, religion, foreign policy, military, or justice frameworks.","[0, 0, 1, 0, 0, 0, 1, 0, 0, 3, 0, 1]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
92,"The text criticizes President Biden's handling of the border crisis by highlighting a perceived contradiction: deploying FEMA (Federal Emergency Management Agency) without formally declaring an emergency. This critique implicitly emphasizes adherence to procedural norms (declaring an emergency as a prerequisite for FEMA's involvement), aligning with **I11 (Justice Orientation)** under *Procedural Justice* (Right). Other dimensions (e.g., Political Regime, Economic Orientation) are unrelated, as the focus is on procedural consistency rather than economic systems, cultural values, or other ideological aspects.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
93,"The text discusses TSMC's stance on silicon shortages, which relates to economic orientation (I3). TSMC, being a major semiconductor company, operates within a market economy context where decisions are influenced by corporate strategies and market interactions rather than government control, aligning with the right (Market Economy). Other dimensions like political regime, state structure, or ethical pursuits are unrelated as the text focuses on supply chain and corporate confidence without addressing those areas.","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
94,"The text emphasizes foreign investment in China's economy, highlighting market potential and industrial networks. This relates to I3 (Economic Orientation) as it supports a market-driven economy (Right). It also touches on I8 (Diplomatic Strategy) by promoting international economic engagement (Globalism, Left). Other dimensions are unrelated as the text focuses on economic aspects without addressing political regimes, ethics, military, etc.","[0, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
95,"The text discusses a feminism manifesto and references #SCOTUS considering removing a constitutional right from women (likely abortion rights), highlighting advocacy for women's rights and ethical liberalism (I5: Left). It emphasizes individual rights (I7: Right, I12: Right) and implies support for result justice by opposing the removal of constitutional rights (I11: Left). Other dimensions (I1-I4, I6, I8-I10) are unrelated as the text does not address political regimes, economic structures, church-state relations, diplomacy, military, or social development approaches.","[0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 1, 3]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]"
96,"The text criticizes the GOP (Republican Party) for prioritizing profit over public health, implying support for socialism (I1:1) and a command economy (I3:1). It emphasizes outcome equality (I4:1) by condemning unequal treatment in healthcare. The call to 'destroy them' reflects collectivism (I7:1) and revolutionism (I10:1). The focus on result justice (I11:1) highlights fair distribution of healthcare, and the emphasis on social responsibility (I12:1) over individual rights aligns with the Left. Other dimensions (I2, I5, I6, I8, I9) are unrelated.","[1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 0]"
97,"The text discusses the contradiction between opposing abortion rights (Ethical Conservatism, Right) and opposing mask mandates (Ethical Liberalism, Left). The primary related dimension is I5 (Ethical Pursuit), where supporting laws to deny a woman's right to choose aligns with Ethical Conservatism (Right). The mention of mask mandates relates to personal freedom but falls under Ethical Liberalism. However, the text's critique implies support for Ethical Liberalism (pro-choice), hence I5 is labeled Left (1). Other dimensions (e.g., I12) touch on individual rights vs. social responsibility but are not explicitly addressed, leaving them unrelated.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3]"
98,"The text discusses wealth inequality and access to affordable Insulin (I1: Left, I3: Left, I4: Left), a woman's right to make decisions (I5: Left), and contrasts conservative inaction on mass shootings (I12: Left, implying criticism of prioritizing individual rights over social responsibility). Other dimensions (I2, I6, I7, I8, I9, I10, I11) are unrelated as the text does not address state structure, church-state relations, collectivism/individualism broadly, foreign policy, military strategy, social development methods, or justice types explicitly.","[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3]"
99,"The text discusses abortion rights and bodily autonomy, which relates to Ethical Pursuit (I5). The opposition to restricting abortion aligns with Ethical Liberalism (Left). The emphasis on individual rights over collective norms relates to Cultural Value (I7) as Individualism (Right). The focus on protecting bodily autonomy and rights connects to Personal Right (I12) favoring Individual Right (Right). Other dimensions such as Political Regime, State Structure, etc., are unrelated as they are not addressed.","[0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 1, 3]"
